Model,Year_of_Manufacture,Number_of_Engines,Engine_Type,Capacity,Range_(km),Fuel_Consumption_(L/hour),Hourly_Maintenance_Cost_($),Age,Sales_Region,Price_($),Company,Age_Group,HMC_per_person,Engine_Power_Factor,Price_per_Seat,Seats_per_Engine,Company_Popularity,FuelCost_Maint_Index,Engine_to_Capacity
Boeing 737,1998,2,Turbofan,162,5700,10.58,1660.74,27,Africa,64903179.49,Boeing,20-30,10.251481481481482,12,400636.9104320988,81.0,4132,27.187400000000004,0.012345679012345678
Airbus A320,2009,2,Turbofan,180,6300,5.14,2883.43,16,Asia,127589373.69,Airbus,10-20,16.019055555555553,12,708829.8538333334,90.0,4155,33.9743,0.011111111111111112
Bombardier CRJ200,1996,2,Turbofan,50,3000,13.66,918.96,29,South America,12388808.47,Bombardier,20-30,18.3792,12,247776.1694,25.0,2051,22.849600000000002,0.04
Airbus A320,2012,2,Turbofan,180,6300,6.54,2025.63,13,Asia,131800157.55,Airbus,10-20,11.2535,12,732223.0975,90.0,4155,26.796300000000002,0.011111111111111112
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,3766.8,26,Australia,12872568.92,Bombardier,20-30,75.336,12,257451.3784,25.0,2051,51.328,0.04
Cessna 172,2018,1,Piston,4,1285,13.37,3389.14,7,Europe,397989.08,Cessna,0-10,847.285,1,99497.27,4.0,2039,47.261399999999995,0.25
Airbus A320,2003,2,Turbofan,180,6300,13.68,1227.33,22,Europe,96788868.97,Airbus,20-30,6.818499999999999,12,537715.9387222222,90.0,4155,25.9533,0.011111111111111112
Cessna 172,2013,1,Piston,4,1285,16.43,522.78,12,Asia,317496.98,Cessna,10-20,130.695,1,79374.245,4.0,2039,21.6578,0.25
Cessna 172,2000,1,Piston,4,1285,37.68,2969.3,25,Africa,203302.52,Cessna,20-30,742.325,1,50825.63,4.0,2039,67.373,0.25
Boeing 737,1987,2,Turbofan,162,5700,5.08,3704.81,38,North America,67626196.15,Boeing,30-40,22.8691975308642,12,417445.6552469136,81.0,4132,42.128099999999996,0.012345679012345678
Boeing 777,1995,2,Turbofan,396,15600,11.7,1964.3,30,Asia,435882785.22,Boeing,20-30,4.960353535353535,12,1100714.1040909092,198.0,4132,31.343,0.005050505050505051
Airbus A320,2016,2,Turbofan,180,6300,9.39,3459.26,9,Asia,140344150.66,Airbus,0-10,19.218111111111114,12,779689.7258888888,90.0,4155,43.982600000000005,0.011111111111111112
Boeing 737,2011,2,Turbofan,162,5700,6.78,921.54,14,Asia,87878634.15,Boeing,10-20,5.688518518518518,12,542460.7046296296,81.0,4132,15.9954,0.012345679012345678
Cessna 172,1988,1,Piston,4,1285,25.72,4878.55,37,Europe,196267.42,Cessna,30-40,1219.6375,1,49066.855,4.0,2039,74.50550000000001,0.25
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.2,4514.21,15,South America,17894235.68,Bombardier,10-20,90.2842,12,357884.7136,25.0,2051,55.3421,0.04
Airbus A320,1996,2,Turbofan,180,6300,8.4,3096.07,29,South America,89750866.58,Airbus,20-30,17.200388888888888,12,498615.9254444444,90.0,4155,39.3607,0.011111111111111112
Cessna 172,2007,1,Piston,4,1285,38.9,1378.59,18,Europe,259510.14,Cessna,10-20,344.6475,1,64877.535,4.0,2039,52.6859,0.25
Cessna 172,1992,1,Piston,4,1285,48.16,4732.06,33,Australia,224011.9,Cessna,30-40,1183.015,1,56002.975,4.0,2039,95.48060000000001,0.25
Boeing 777,2005,2,Turbofan,396,15600,6.81,4616.89,20,Australia,532986648.75,Boeing,10-20,11.658813131313131,12,1345925.8806818181,198.0,4132,52.9789,0.005050505050505051
Bombardier CRJ200,2003,2,Turbofan,50,3000,13.09,4836.29,22,Africa,14384470.91,Bombardier,20-30,96.72579999999999,12,287689.4182,25.0,2051,61.4529,0.04
Cessna 172,2008,1,Piston,4,1285,25.4,1825.02,17,Asia,285823.04,Cessna,10-20,456.255,1,71455.76,4.0,2039,43.6502,0.25
Airbus A320,1994,2,Turbofan,180,6300,9.24,1262.72,31,Asia,85071663.75,Airbus,30-40,7.0151111111111115,12,472620.3541666667,90.0,4155,21.8672,0.011111111111111112
Boeing 777,1981,2,Turbofan,396,15600,11.05,4712.7,44,South America,362440325.34,Boeing,40+,11.900757575757575,12,915253.3468181818,198.0,4132,58.17700000000001,0.005050505050505051
Cessna 172,1994,1,Piston,4,1285,49.6,3267.53,31,South America,216986.53,Cessna,30-40,816.8825,1,54246.6325,4.0,2039,82.2753,0.25
Airbus A320,1980,2,Turbofan,180,6300,8.74,1130.38,45,Asia,81164502.17,Airbus,40+,6.279888888888889,12,450913.90094444447,90.0,4155,20.0438,0.011111111111111112
Bombardier CRJ200,2020,2,Turbofan,50,3000,11.13,3636.57,5,Asia,23974036.95,Bombardier,0-10,72.73140000000001,12,479480.739,25.0,2051,47.49570000000001,0.04
Airbus A320,1984,2,Turbofan,180,6300,5.82,2117.71,41,Asia,82396710.13,Airbus,40+,11.765055555555556,12,457759.5007222222,90.0,4155,26.9971,0.011111111111111112
Boeing 777,1984,2,Turbofan,396,15600,13.87,4401.83,41,South America,418007942.94,Boeing,40+,11.115732323232322,12,1055575.6134848485,198.0,4132,57.8883,0.005050505050505051
Airbus A320,1997,2,Turbofan,180,6300,8.52,2801.04,28,Australia,82834396.57,Airbus,20-30,15.561333333333334,12,460191.0920555555,90.0,4155,36.5304,0.011111111111111112
Airbus A350,1993,2,Turbofan,350,14800,12.35,3658.85,32,South America,414595482.47,Airbus,30-40,10.453857142857142,12,1184558.5213428573,175.0,4155,48.938500000000005,0.005714285714285714
Airbus A320,2016,2,Turbofan,180,6300,6.39,4505.02,9,South America,124364472.6,Airbus,0-10,25.027888888888892,12,690913.7366666666,90.0,4155,51.440200000000004,0.011111111111111112
Airbus A350,1995,2,Turbofan,350,14800,2.47,3102.26,30,Africa,363499352.52,Airbus,20-30,8.8636,12,1038569.5786285714,175.0,4155,33.4926,0.005714285714285714
Airbus A350,1992,2,Turbofan,350,14800,9.05,2595.19,33,Asia,397867099.22,Airbus,30-40,7.414828571428572,12,1136763.1406285716,175.0,4155,35.001900000000006,0.005714285714285714
Boeing 737,2022,2,Turbofan,162,5700,2.49,637.25,3,Africa,104321929.88,Boeing,0-10,3.933641975308642,12,643962.5301234567,81.0,4132,8.8625,0.012345679012345678
Boeing 777,2007,2,Turbofan,396,15600,6.68,4201.7,18,Africa,544185572.19,Boeing,10-20,10.610353535353536,12,1374205.990378788,198.0,4132,48.696999999999996,0.005050505050505051
Airbus A350,1983,2,Turbofan,350,14800,4.81,3964.97,42,Australia,332190283.64,Airbus,40+,11.328485714285714,12,949115.0961142856,175.0,4155,44.4597,0.005714285714285714
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.11,3303.01,4,Asia,23289653.75,Bombardier,0-10,66.06020000000001,12,465793.075,25.0,2051,36.140100000000004,0.04
Boeing 737,2005,2,Turbofan,162,5700,10.29,2932.86,20,Australia,75935599.5,Boeing,10-20,18.104074074074074,12,468738.26851851854,81.0,4132,39.6186,0.012345679012345678
Boeing 777,1986,2,Turbofan,396,15600,14.69,3767.41,39,Europe,317065019.03,Boeing,30-40,9.513661616161615,12,800669.2399747474,198.0,4132,52.3641,0.005050505050505051
Airbus A320,1992,2,Turbofan,180,6300,5.52,4078.34,33,South America,79821921.86,Airbus,30-40,22.657444444444444,12,443455.12144444446,90.0,4155,46.303399999999996,0.011111111111111112
Airbus A350,1988,2,Turbofan,350,14800,3.02,2475.37,37,Africa,391118009.63,Airbus,30-40,7.072485714285714,12,1117480.0275142856,175.0,4155,27.773699999999998,0.005714285714285714
Airbus A320,1997,2,Turbofan,180,6300,4.25,2340.29,28,Africa,85144981.29,Airbus,20-30,13.00161111111111,12,473027.67383333336,90.0,4155,27.6529,0.011111111111111112
Airbus A320,1984,2,Turbofan,180,6300,5.25,1203.97,41,Africa,92195099.49,Airbus,40+,6.688722222222222,12,512194.9971666666,90.0,4155,17.2897,0.011111111111111112
Cessna 172,1986,1,Piston,4,1285,21.2,3470.89,39,Asia,222355.92,Cessna,30-40,867.7225,1,55588.98,4.0,2039,55.9089,0.25
Bombardier CRJ200,2014,2,Turbofan,50,3000,11.59,4796.89,11,Asia,24005505.92,Bombardier,10-20,95.93780000000001,12,480110.11840000004,25.0,2051,59.55890000000001,0.04
Boeing 737,1995,2,Turbofan,162,5700,5.22,2388.2,30,Europe,70011721.15,Boeing,20-30,14.741975308641974,12,432171.1182098766,81.0,4132,29.101999999999997,0.012345679012345678
Airbus A350,2011,2,Turbofan,350,14800,11.85,2101.88,14,Africa,591037757.01,Airbus,10-20,6.005371428571429,12,1688679.305742857,175.0,4155,32.8688,0.005714285714285714
Airbus A320,2005,2,Turbofan,180,6300,3.27,2633.78,20,Asia,108071613.81,Airbus,10-20,14.632111111111112,12,600397.8545,90.0,4155,29.6078,0.011111111111111112
Airbus A320,2004,2,Turbofan,180,6300,8.16,2712.27,21,Asia,94713313.58,Airbus,20-30,15.068166666666666,12,526185.0754444444,90.0,4155,35.282700000000006,0.011111111111111112
Airbus A350,1996,2,Turbofan,350,14800,10.01,2293.27,29,Africa,325859473.29,Airbus,20-30,6.5522,12,931027.0665428572,175.0,4155,32.9427,0.005714285714285714
Boeing 777,2007,2,Turbofan,396,15600,2.59,3357.92,18,Australia,618640959.87,Boeing,10-20,8.47959595959596,12,1562224.6461363637,198.0,4132,36.169200000000004,0.005050505050505051
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.13,2764.11,10,Australia,17373210.04,Bombardier,0-10,55.2822,12,347464.2008,25.0,2051,40.771100000000004,0.04
Bombardier CRJ200,2011,2,Turbofan,50,3000,4.12,3464.12,14,Europe,18719354.17,Bombardier,10-20,69.2824,12,374387.08340000006,25.0,2051,38.761199999999995,0.04
Airbus A320,1998,2,Turbofan,180,6300,9.62,619.3,27,Europe,73657499.53,Airbus,20-30,3.440555555555555,12,409208.3307222222,90.0,4155,15.812999999999999,0.011111111111111112
Boeing 737,2017,2,Turbofan,162,5700,9.48,4731.04,8,Australia,129403197.62,Boeing,0-10,29.20395061728395,12,798785.1704938272,81.0,4132,56.790400000000005,0.012345679012345678
Cessna 172,1983,1,Piston,4,1285,31.82,2562.14,42,Australia,187249.11,Cessna,40+,640.535,1,46812.2775,4.0,2039,57.4414,0.25
Boeing 777,1983,2,Turbofan,396,15600,7.02,4736.59,42,Asia,408752497.16,Boeing,40+,11.961085858585859,12,1032203.2756565657,198.0,4132,54.38590000000001,0.005050505050505051
Cessna 172,2010,1,Piston,4,1285,22.76,820.35,15,South America,296583.45,Cessna,10-20,205.0875,1,74145.8625,4.0,2039,30.963500000000003,0.25
Cessna 172,1990,1,Piston,4,1285,10.93,4301.94,35,Asia,201106.59,Cessna,30-40,1075.485,1,50276.6475,4.0,2039,53.9494,0.25
Cessna 172,1985,1,Piston,4,1285,37.87,1031.74,40,Europe,231857.52,Cessna,30-40,257.935,1,57964.38,4.0,2039,48.1874,0.25
Boeing 737,2018,2,Turbofan,162,5700,13.41,3330.24,7,Asia,123512626.17,Boeing,0-10,20.557037037037034,12,762423.6183333333,81.0,4132,46.7124,0.012345679012345678
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.31,1769.16,30,Africa,12835276.83,Bombardier,20-30,35.3832,12,256705.5366,25.0,2051,22.0016,0.04
Boeing 737,2016,2,Turbofan,162,5700,12.49,3877.77,9,Europe,108922584.58,Boeing,0-10,23.936851851851852,12,672361.6332098765,81.0,4132,51.267700000000005,0.012345679012345678
Cessna 172,2018,1,Piston,4,1285,41.06,2174.08,7,Asia,389175.66,Cessna,0-10,543.52,1,97293.915,4.0,2039,62.8008,0.25
Cessna 172,1985,1,Piston,4,1285,47.23,2033.62,40,Africa,209049.52,Cessna,30-40,508.405,1,52262.38,4.0,2039,67.5662,0.25
Bombardier CRJ200,2017,2,Turbofan,50,3000,11.81,3878.92,8,South America,23587120.57,Bombardier,0-10,77.5784,12,471742.4114,25.0,2051,50.5992,0.04
Cessna 172,2000,1,Piston,4,1285,46.1,964.06,25,North America,260927.64,Cessna,20-30,241.015,1,65231.91,4.0,2039,55.7406,0.25
Airbus A320,2022,2,Turbofan,180,6300,13.64,1940.22,3,Australia,153909858.26,Airbus,0-10,10.779,12,855054.768111111,90.0,4155,33.0422,0.011111111111111112
Boeing 777,1995,2,Turbofan,396,15600,2.14,2251.41,30,North America,410469031.78,Boeing,20-30,5.685378787878787,12,1036537.959040404,198.0,4132,24.6541,0.005050505050505051
Airbus A350,1988,2,Turbofan,350,14800,9.45,4777.73,37,Australia,367471059.35,Airbus,30-40,13.650657142857142,12,1049917.3124285715,175.0,4155,57.2273,0.005714285714285714
Bombardier CRJ200,1999,2,Turbofan,50,3000,7.83,3343.27,26,Africa,11294643.37,Bombardier,20-30,66.8654,12,225892.8674,25.0,2051,41.262699999999995,0.04
Boeing 777,1984,2,Turbofan,396,15600,11.78,3526.33,41,Asia,349306992.0,Boeing,40+,8.904873737373737,12,882088.3636363636,198.0,4132,47.0433,0.005050505050505051
Airbus A350,2019,2,Turbofan,350,14800,12.27,4062.11,6,South America,684223379.69,Airbus,0-10,11.606028571428572,12,1954923.9419714287,175.0,4155,52.89110000000001,0.005714285714285714
Boeing 737,1984,2,Turbofan,162,5700,9.14,759.01,41,South America,57765773.43,Boeing,40+,4.685246913580247,12,356578.8483333333,81.0,4132,16.7301,0.012345679012345678
Airbus A320,2012,2,Turbofan,180,6300,13.54,2486.89,13,North America,112151806.73,Airbus,10-20,13.816055555555554,12,623065.5929444445,90.0,4155,38.4089,0.011111111111111112
Airbus A320,2002,2,Turbofan,180,6300,11.9,1143.46,23,Asia,87977234.14,Airbus,20-30,6.352555555555556,12,488762.4118888889,90.0,4155,23.334600000000002,0.011111111111111112
Airbus A320,2003,2,Turbofan,180,6300,3.31,3281.98,22,North America,96336514.65,Airbus,20-30,18.23322222222222,12,535202.8591666667,90.0,4155,36.1298,0.011111111111111112
Airbus A320,2008,2,Turbofan,180,6300,12.68,827.43,17,South America,104143760.26,Airbus,10-20,4.596833333333333,12,578576.4458888889,90.0,4155,20.9543,0.011111111111111112
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.06,3678.09,26,South America,10739495.68,Bombardier,20-30,73.5618,12,214789.9136,25.0,2051,39.840900000000005,0.04
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.31,4157.6,12,Asia,16600779.99,Bombardier,10-20,83.152,12,332015.5998,25.0,2051,55.88600000000001,0.04
Bombardier CRJ200,2015,2,Turbofan,50,3000,11.79,4937.0,10,North America,18828564.05,Bombardier,0-10,98.74,12,376571.281,25.0,2051,61.160000000000004,0.04
Bombardier CRJ200,1986,2,Turbofan,50,3000,9.26,3997.16,39,Europe,11817262.56,Bombardier,30-40,79.94319999999999,12,236345.2512,25.0,2051,49.2316,0.04
Boeing 777,1987,2,Turbofan,396,15600,13.78,2409.0,38,Asia,396824752.08,Boeing,30-40,6.083333333333333,12,1002082.7072727273,198.0,4132,37.87,0.005050505050505051
Bombardier CRJ200,2015,2,Turbofan,50,3000,8.09,551.09,10,Europe,18252268.93,Bombardier,0-10,11.0218,12,365045.3786,25.0,2051,13.6009,0.04
Boeing 777,1998,2,Turbofan,396,15600,3.54,753.36,27,South America,410411470.34,Boeing,20-30,1.9024242424242424,12,1036392.6018686868,198.0,4132,11.073599999999999,0.005050505050505051
Airbus A320,2001,2,Turbofan,180,6300,9.58,3857.2,24,Europe,80504029.77,Airbus,20-30,21.42888888888889,12,447244.6098333333,90.0,4155,48.151999999999994,0.011111111111111112
Bombardier CRJ200,2020,2,Turbofan,50,3000,6.87,4829.78,5,North America,24267695.88,Bombardier,0-10,96.59559999999999,12,485353.9176,25.0,2051,55.16779999999999,0.04
Cessna 172,2011,1,Piston,4,1285,48.53,1506.18,14,North America,311793.44,Cessna,10-20,376.545,1,77948.36,4.0,2039,63.591800000000006,0.25
Boeing 737,1985,2,Turbofan,162,5700,14.61,554.7,40,Australia,64881809.73,Boeing,30-40,3.4240740740740745,12,400504.9983333333,81.0,4132,20.157,0.012345679012345678
Airbus A350,1997,2,Turbofan,350,14800,9.2,832.08,28,Asia,372785335.86,Airbus,20-30,2.3773714285714287,12,1065100.9596,175.0,4155,17.5208,0.005714285714285714
Boeing 737,2001,2,Turbofan,162,5700,8.8,4861.86,24,Europe,81388879.52,Boeing,20-30,30.01148148148148,12,502400.4908641975,81.0,4132,57.4186,0.012345679012345678
Bombardier CRJ200,1996,2,Turbofan,50,3000,10.16,2545.43,29,Europe,13233319.52,Bombardier,20-30,50.9086,12,264666.3904,25.0,2051,35.6143,0.04
Bombardier CRJ200,2008,2,Turbofan,50,3000,13.72,3129.41,17,South America,20606861.86,Bombardier,10-20,62.5882,12,412137.2372,25.0,2051,45.0141,0.04
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.45,1748.22,18,South America,15094612.56,Bombardier,10-20,34.9644,12,301892.2512,25.0,2051,21.9322,0.04
Boeing 737,1987,2,Turbofan,162,5700,6.59,2586.64,38,Asia,58642290.01,Boeing,30-40,15.966913580246914,12,361989.44450617285,81.0,4132,32.4564,0.012345679012345678
Bombardier CRJ200,1989,2,Turbofan,50,3000,14.82,4884.78,36,South America,12256600.5,Bombardier,30-40,97.6956,12,245132.01,25.0,2051,63.6678,0.04
Boeing 737,2003,2,Turbofan,162,5700,8.97,3641.73,22,South America,83389306.25,Boeing,20-30,22.479814814814816,12,514748.8040123457,81.0,4132,45.3873,0.012345679012345678
Cessna 172,1989,1,Piston,4,1285,16.5,3581.29,36,Africa,201372.89,Cessna,30-40,895.3225,1,50343.2225,4.0,2039,52.3129,0.25
Airbus A320,1982,2,Turbofan,180,6300,12.69,4599.17,43,North America,68015390.37,Airbus,40+,25.550944444444443,12,377863.27983333333,90.0,4155,58.6817,0.011111111111111112
